Lost,Total Datagrams,Loss Rate (%)
0,66261,0
0,70054,0
0,70020,0
0,70013,0
0,70016,0
0,70051,0
8,70032,0.011429878
-8,70009,-0.011427102
0,70027,0
0,70046,0
0,70009,0
0,70026,0
0,70039,0
0,70043,0
1199,70005,1.712770566
-1199,70021,-1.71234344
0,70042,0
0,70006,0
0,70035,0
0,70051,0
7,70005,0.011424654
-7,70034,-0.009995145
0,70013,0
0,70037,0
0,70024,0
0,70040,0
0,70021,0
0,70042,0
0,70015,0
1215,70033,1.735694563
-1215,70020,-1.735218509
0,70048,0
0,70018,0
7,70031,0.011423349
-7,70021,-0.009997001
0,70043,0
16,70020,0.022859755
-16,70047,-0.022841806
0,70024,0
0,70027,0
0,70019,0
0,70033,0
0,69938,0
0,70125,0
1199,70021,1.713404535
-1199,70003,-1.712783738
0,70045,0
0,70013,0
0,70035,0
0,70045,0
0,70033,0
0,69992,0
0,70020,0
0,70060,0
0,70031,0
0,70025,0
0,70026,0
0,70022,0
0,70031,0
1201,70048,1.715847307
-1201,70000,-1.715714286
0,70032,0
0,70038,0
0,70028,0
0,70030,0
0,69997,0
0,70039,0
0,70041,0
0,69725,0
0,70144,0
0,70030,0
0,70097,0
0,69839,0
0,70224,0
1142,69834,1.63641855
-1142,70177,-1.627313792
0,69924,0
0,69997,0
0,70308,0
0,70026,0
0,70017,0
0,70049,0
0,70030,0
0,70017,0
8,70036,0.011424654
-8,70047,-0.011420903
0,69996,0
0,70024,0
0,70025,0
1335,70054,1.906591359
-1335,70025,-1.906461978
0,70001,0
0,70058,0
0,70028,0
0,70013,0
0,70032,0
0,70031,0
0,70024,0
0,70037,0
0,70013,0
0,70013,0
0,70051,0
0,70024,0
0,70022,0
1361,70049,1.942925666
-1361,69574,-1.956190531
0,70034,0
0,70471,0
0,70001,0
0,70048,0
0,70015,0
0,70032,0
0,70027,0
0,70034,0
0,70015,0
0,70045,0
0,69999,0
0,70064,0
0,70024,0
1688,70020,2.411587767
-1688,70004,-2.411290783
0,70074,0
0,70020,0
0,70003,0
0,70039,0
0,70021,0
0,70033,0
0,70015,0
0,70036,0
0,70026,0
0,70036,0
0,70038,0
0,70025,0
0,70000,0
1764,70033,2.520004777
-1764,70057,-2.51794967
0,70032,0
0,69984,0
0,70051,0
0,70037,0
0,70039,0
0,70009,0
0,70002,0
0,70037,0
0,70052,0
0,70025,0
0,70036,0
0,70021,0
0,70027,0
1259,70016,1.798576482
-1259,70043,-1.79746727
0,70048,0
0,70013,0
0,70003,0
0,70063,0
0,70006,0
0,70022,0
0,70034,0
0,70024,0
0,70030,0
0,70044,0
0,69999,0
0,70043,0
0,70029,0
1197,70031,1.71056075
-1197,70028,-1.709316273
0,70025,0
0,70035,0
0,70019,0
0,70023,0
0,70004,0
0,70036,0
0,69566,0
0,70491,0
0,69603,0
0,70473,0
0,70025,0
0,70036,0
0,70019,0
2105,70006,3.0082755
-2105,70058,-3.004653287
0,70008,0
0,70026,0
0,70038,0
0,70037,0
7,70003,0.011423349
-7,70041,-0.009994146
0,70040,0
0,70043,0
0,70010,0
0,70034,0
0,70003,0
0,70048,0
0,70020,0
1754,70020,2.506380006
-1754,70023,-2.50489125
0,70058,0
0,70042,0
0,69985,0
0,70035,0
0,70052,0
0,70012,0
0,70033,0
0,70032,0
0,70017,0
0,70026,0
0,70046,0
0,70008,0
0,70051,0
1727,70019,2.46736822
-1727,70026,-2.46622683
0,70025,0
0,70016,0
0,70041,0
0,70039,0
0,69985,0
0,70045,0
0,70027,0
0,70023,0
0,70041,0
0,70021,0
0,70036,0
0,70024,0
0,70033,0
1800,70003,2.571834993
-1800,70059,-2.56926305
0,70022,0
0,70024,0
0,69992,0
0,70013,0
0,70050,0
0,70055,0
0,69995,0
0,70035,0
0,70075,0
0,70009,0
7,69998,0.011424654
-7,70054,-0.009992292
0,70035,0
1724,70030,2.463139386
-1724,70008,-2.462575706
0,70030,0
0,70041,0
0,70022,0
0,70055,0
0,69997,0
0,70037,0
0,70048,0
0,69991,0
0,70015,0
0,70056,0
0,70039,0
0,70018,0
0,70030,0
1359,70034,1.941706141
-1359,70020,-1.940874036
0,70041,0
0,70022,0
0,70046,0
0,70022,0
0,70010,0
0,70023,0
0,70027,0
0,70028,0
0,70060,0
0,70017,0
0,69987,0
0,70051,0
0,70016,0
952,70033,1.359971859
-952,70043,-1.359165084
8,70048,0.011423349
-8,69993,-0.011429714
0,70030,0
0,70014,0
0,70057,0
0,70040,0
0,70011,0
7,70004,0.011424654
-7,70051,-0.00999272
0,70029,0
0,70005,0
0,70049,0
0,70023,0
991,70025,1.415554445
-991,70025,-1.415208854
0,70024,0
0,70042,0
0,70027,0
0,70036,0
0,70004,0
0,70009,0
0,70070,0
0,70013,0
0,70050,0
0,70015,0
0,70013,0
0,70035,0
0,70050,0
1678,70012,2.397345065
-1678,70023,-2.396355483
0,70056,0
0,69989,0
0,70022,0
0,70058,0
0,70040,0
0,69994,0
0,70026,0
0,70012,0
0,70045,0
0,70064,0
0,70019,0
0,70030,0
0,70007,0
1202,70016,1.716824018
-1202,70064,-1.715574332
0,70009,0
0,70016,0
0,70036,0
0,70041,0
0,70016,0
0,70045,0
0,70021,0
0,70013,0
0,70032,0
0,70022,0
0,70032,0
0,70028,0
0,70022,0
2005,70025,2.864148159
-2005,70054,-2.862077826
0,70028,0
0,70006,0
0,70033,0
0,70039,0
0,69996,0
0,70047,0
0,70031,0
0,70048,0
0,70025,0
0,70009,0
0,70038,0
0,70021,0
0,70017,0
1163,70015,1.661954939
-1163,70036,-1.660574562
0,70023,0
0,70064,0
0,69997,0
8,70053,0.011424654
-8,70040,-0.011422045
0,70026,0
0,69994,0
0,70032,0
0,70029,0
0,70024,0
0,70041,0
0,70020,0
0,70007,0
1313,70063,1.875446365
-1313,70018,-1.875232083
0,70027,0
0,70033,0
0,70000,0
0,70056,0
0,69995,0
0,70058,0
0,70029,0
0,70021,0
0,70042,0
0,70024,0
0,70037,0
0,70008,0
0,70032,0
1028,70018,1.468910439
-1028,70040,-1.467732724
0,70017,0
0,70041,0
0,70009,0
0,70018,0
8,70053,0.011423349
-8,70013,-0.011426449
0,70032,0
0,70054,0
0,70014,0
0,70030,0
0,70038,0
0,69993,0
0,70060,0
1301,70040,1.858626274
-1301,69999,-1.85859798
0,70031,0
0,70030,0
0,70034,0
0,70004,0
0,70032,0
0,70043,0
0,70003,0
0,70052,0
0,70000,0
0,70062,0
0,70034,0
0,70021,0
0,70043,0
1059,70019,1.513239652
-1059,69995,-1.512965212
0,70056,0
0,70018,0
0,70039,0
0,70005,0
0,70032,0
0,70026,0
0,70055,0
0,69995,0
0,70036,0
0,70003,0
0,70065,0
0,70004,0
0,70063,0
1049,70018,1.498506724
-1049,70037,-1.497779745
0,70003,0
0,70049,0
0,70034,0
0,70001,0
0,70034,0
0,70032,0
0,70027,0
0,70021,0
0,70036,0
0,70015,0
0,70056,0
0,70016,0
0,70045,0
943,70003,1.347678045
-943,70050,-1.346181299
0,69999,0
0,70046,0
0,70046,0
0,69995,0
0,70019,0
0,70066,0
0,69992,0
0,70066,0
0,69980,0
0,70055,0
0,70025,0
0,70020,0
0,70018,0
1989,70075,2.839113721
-1989,69995,-2.841631545
0,70043,0
0,70032,0
0,69997,0
0,70056,0
0,70047,0
0,70000,0
0,70022,0
0,70018,0
0,70037,0
0,70038,0
0,69999,0
0,70050,0
0,70027,0
1015,70028,1.450372232
-1015,70011,-1.449772179
0,70030,0
0,70052,0
0,70021,0
0,70010,0
0,70043,0
0,70037,0
0,70001,0
0,70049,0
0,69994,0
0,70039,0
8,70054,0.011423349
-8,70025,-0.011424491
0,70037,0
1002,70031,1.431130422
-1002,70037,-1.430672359
0,70001,0
0,70036,0
0,70005,0
0,70052,0
0,70005,0
0,70060,0
0,70023,0
0,69998,0
0,70029,0
0,70028,0
0,70036,0
0,70044,0
0,70032,0
1205,70029,1.720798534
-1205,70035,-1.720568287
0,70026,0
0,69994,0
0,70047,0
0,70024,0
0,70039,0
0,70016,0
0,70029,0
0,70027,0
0,69677,0
0,70394,0
0,70007,0
0,70050,0
0,69998,0
1306,70055,1.865435117
-1306,70004,-1.86560768
0,70047,0
0,70016,0
0,70036,0
0,70038,0
0,70021,0
0,70013,0
0,70033,0
8,70064,0.011423349
-8,70002,-0.011428245
0,70021,0
0,70020,0
8,70054,0.011423349
-8,70015,-0.011426123
975,70015,1.393454338
-975,70035,-1.392161062
0,70039,0
0,70047,0
0,69980,0
0,70051,0
0,70016,0
0,70038,0
0,70029,0
0,70017,0
0,70043,0
0,70023,0
0,70033,0
0,70017,0
0,70047,0
1361,70034,1.944321487
-1361,70031,-1.943425055
0,69991,0
0,70037,0
0,70017,0
0,70037,0
0,70020,0
0,70040,0
0,70043,0
0,70010,0
0,70056,0
7,69992,0.01142596
-7,70047,-0.00999329
0,70032,0
0,70041,0
1542,70015,2.203389831
-1542,70011,-2.202511034
0,70014,0
0,70050,0
0,70010,0
0,70028,0
0,70040,0
0,70050,0
0,69989,0
0,70062,0
0,70005,0
0,70030,0
0,70034,0
0,70028,0
0,70050,0
1197,70011,1.710743526
-1197,70013,-1.709682488
0,70051,0
0,70023,0
0,70020,0
0,70031,0
0,70024,0
0,70025,0
0,70034,0
0,70022,0
7,70041,0.011419436
-7,70015,-0.009997858
0,70035,0
0,69998,0
0,70041,0
1203,69509,1.731750182
-1203,70143,-1.71506779
7,69924,0.011428571
-7,70432,-0.009938664
0,69646,0
0,70409,0
7,69699,0.01142596
-7,70150,-0.009978617
7,69874,0.011424654
-7,69982,-0.010002572
8,70170,0.011423349
-8,70149,-0.011404297
15,69758,0.022844089
-15,70292,-0.021339555
0,69878,0
1215,69909,1.738124482
-1215,70138,-1.732299182
0,70306,0
0,69675,0
0,69962,0
0,70155,0
0,70325,0
0,70130,0
0,70032,0
16,70064,0.022849309
-16,70023,-0.022849635
7,70000,0.011423349
-7,70054,-0.009992292
0,70025,0
0,70015,0
1206,70027,1.722199996
-1206,70045,-1.721750303
0,70030,0
0,70030,0
0,70037,0
0,70014,0
0,70028,0
8,70037,0.011424654
-8,70045,-0.011421229
0,70020,0
7,70028,0.011423349
-7,70035,-0.009995002
0,70009,0
0,70013,0
0,70052,0
1208,70031,1.725820657
-1208,70023,-1.725147452
0,70014,0
0,70021,0
0,70054,0
0,70045,0
0,70011,0
7,70015,0.011423349
-7,70038,-0.009994574
0,70015,0
0,70034,0
0,70016,0
0,70036,0
0,70026,0
0,70023,0
1200,70037,1.713575804
-1200,70044,-1.71320884
0,70021,0
0,70017,0
0,70019,0
8,70030,0.011424654
-8,70036,-0.011422697
7,70008,0.011423349
-7,70044,-0.009993718
8,70052,0.011423349
-8,70018,-0.011425633
0,70018,0
8,70028,0.011424654
-8,70030,-0.011423676
0,70038,0
1201,70027,1.715980275
-1201,70044,-1.714636514
0,70000,0
0,70046,0
0,70023,0
15,70026,0.022844089
-15,70009,-0.021425817
0,70045,0
0,70032,0
0,70026,0
0,70004,0
0,70046,0
0,70037,0
0,70023,0
0,70019,0
1206,70033,1.722389637
-1206,70034,-1.722020733
0,70004,0
0,70055,0
0,70009,0
0,70066,0
0,69973,0
0,70054,0
0,70002,0
0,70024,0
0,70065,0
0,70007,0
0,70059,0
0,70015,0
0,70039,0
1210,69995,1.728708847
-1210,70058,-1.727140369
7,70003,0.011423349
-7,70035,-0.009995002
0,70051,0
0,70003,0
0,70021,0
0,70017,0
0,70049,0
0,70033,0
0,70005,0
16,70036,0.02285192
-16,70031,-0.022847025
0,70056,0
0,70000,0
1208,70046,1.725295285
-1208,70024,-1.725122815
0,70016,0
7,70006,0.011424654
-7,70041,-0.009994146
8,70056,0.011423349
-8,70013,-0.011426449
0,70019,0
0,70055,0
0,70016,0
0,70030,0
0,70020,0
0,70027,0
7,70022,0.011424654
-7,70049,-0.009993005
1201,70024,1.71540629
-1201,70015,-1.715346711
0,70026,0
7,70026,0.011423349
-7,70029,-0.009995859
15,70010,0.022846699
-15,70045,-0.021414805
0,70013,0
0,70045,0
0,70027,0
0,70046,0
0,70021,0
0,70024,0
0,70031,0
0,70030,0
1239,70002,1.771288288
-1239,70047,-1.768812369
0,70028,0
0,70031,0
0,70017,0
0,70034,0
0,70022,0
0,70046,0
0,69985,0
16,70066,0.022844089
-16,70036,-0.022845394
0,70012,0
0,70038,0
0,70038,0
0,70015,0
1210,70011,1.728620818
-1210,70042,-1.727534908
7,70032,0.011422045
-7,70037,-0.009994717
0,70010,0
0,70036,0
0,70021,0
15,70012,0.022844089
-15,70052,-0.021412665
7,70007,0.01142596
-7,70041,-0.009994146
0,70026,0
0,70048,0
0,70014,0
0,70015,0
1210,70011,1.728324525
-1210,70047,-1.727411595
7,70030,0.011423349
-7,70031,-0.009995573
0,70025,0
0,70040,0
0,70023,0
0,70008,0
0,70055,0
0,70024,0
0,70023,0
0,70046,0
0,69996,0
0,70048,0
0,70041,0
1207,70018,1.725016307
-1207,69965,-1.725148288
0,69915,0
15,69918,0.02284148
-15,70315,-0.021332575
0,70020,0
7,70012,0.011424654
-7,70011,-0.009998429
0,70061,0
0,70011,0
0,70040,0
8,70040,0.011422045
-8,70026,-0.011424328
7,70031,0.011423349
-7,70029,-0.009995859
1210,69986,1.729575455
-1210,70030,-1.72783093
0,70055,0
0,70026,0
0,69999,0
8,70051,0.011423349
-8,70036,-0.011422697
0,70015,0
7,70017,0.011422045
-7,70051,-0.00999272
0,70028,0
0,70026,0
0,70030,0
0,70003,0
0,70063,0
1204,70029,1.719478542
-1204,70004,-1.71990172
0,70022,0
0,70019,0
0,70059,0
7,70027,0.011423349
-7,70006,-0.009999143
0,70036,0
8,70041,0.01142596
-8,70000,-0.011428571
8,70035,0.011424654
-8,70032,-0.011423349
0,70042,0
0,70045,0
0,70028,0
1212,70009,1.732065342
-1212,70026,-1.730785708
0,70028,0
0,70029,0
0,70007,0
0,70026,0
0,70033,0
8,70042,0.011424654
-8,70048,-0.01142074
0,70004,0
0,70040,0
0,69991,0
0,70077,0
0,69984,0
0,69967,0
1200,70110,1.712512907
-1200,70041,-1.71328222
0,70040,0
0,70027,0
7,70031,0.011423349
-7,70017,-0.009997572
0,70027,0
0,69993,0
8,70046,0.011424654
-8,70042,-0.011421718
0,70016,0
7,70037,0.011422045
-7,70040,-0.009994289
0,69998,0
0,70037,0
1206,70055,1.722217462
-1206,69977,-1.723423411
0,70049,0
0,70026,0
0,70045,0
0,69989,0
0,70075,0
0,70022,0
0,70018,0
0,70021,0
0,70058,0
0,69988,0
0,70050,0
0,70027,0
0,70022,0
1204,70040,1.719885309
-1204,70015,-1.719631508
8,70035,0.011424654
-8,69999,-0.011428735
0,70060,0
0,70019,0
0,70032,0
0,70012,0
0,70036,0
0,70021,0
0,70050,0
0,70023,0
0,70006,0
7,70020,0.011423349
-7,70051,-0.00999272
1435,70021,2.050087861
-1435,70036,-2.048946256
0,70039,0
0,70032,0
0,69994,0
8,70053,0.01142596
-8,70019,-0.01142547
0,70037,0
0,70041,0
8,70028,0.011424654
-8,70018,-0.011425633
0,70006,0
0,70030,0
0,70031,0
0,70027,0
1209,70031,1.726583098
-1209,70033,-1.726329016
7,70015,0.011424654
-7,70011,-0.009998429
0,70050,0
0,70029,0
0,70015,0
0,70022,0
0,70077,0
0,69982,0
0,70055,0
0,70035,0
0,70036,0
0,70026,0
0,70031,0
1205,69995,1.721683403
-1205,70042,-1.720396334
0,70018,0
0,70010,0
0,70056,0
0,70008,0
0,70025,0
0,70071,0
0,69968,0
0,70089,0
0,70008,0
0,70019,0
0,70032,0
0,70017,0
0,70058,0
1876,70000,2.681095977
-1876,70059,-2.677743045
0,69990,0
0,70043,0
0,70003,0
0,70051,0
0,70024,0
0,70034,0
0,70053,0
0,69975,0
0,70046,0
0,70022,0
0,70058,0
0,70007,0
0,70033,0
1989,70014,2.841464688
-1989,70037,-2.839927467
0,70012,0
0,70048,0
0,70042,0
0,70025,0
0,70033,0
7,70014,0.01142596
-7,70025,-0.00999643
0,70052,0
0,70014,0
0,70008,0
0,70021,0
0,70059,0
0,70028,0
2159,70020,3.083734066
-2159,70038,-3.082612296
0,70038,0
0,70027,0
0,70026,0
0,70027,0
0,69991,0
0,70054,0
0,70029,0
7,69995,0.011423349
-7,70058,-0.009991721
0,70033,0
0,70027,0
0,70001,0
0,70063,0
2151,69974,3.075264817
-2151,70047,-3.070795323
0,70055,0
0,70019,0
0,70023,0
0,70023,0
0,70025,0
0,70015,0
8,70065,0.011423349
-8,70021,-0.011425144
0,69996,0
0,70044,0
0,70015,0
0,70052,0
0,70040,0
1624,70010,2.320467703
-1624,70009,-2.319701753
0,70069,0
0,69993,0
0,70047,0
0,70025,0
0,69988,0
0,70068,0
0,70010,0
0,70021,0
0,70057,0
0,70023,0
0,70031,0
0,70011,0
0,70023,0
1195,70058,1.706032997
-1195,70037,-1.706240987
0,70012,0
0,70037,0
0,69991,0
0,70072,0
0,69982,0
0,70047,0
0,70011,0
0,70053,0
0,70044,0
7,69983,0.011424654
-7,70066,-0.00999058
0,69994,0
0,70077,0
1206,70011,1.723596276
-1206,70054,-1.721529106
0,69982,0
0,70058,0
0,69980,0
0,70081,0
0,70013,0
0,70004,0
0,70029,0
0,70045,0
0,70031,0
0,70006,0
0,70033,0
0,70046,0
0,69987,0
1185,70086,1.691445809
-1185,69987,-1.693171589
0,70064,0
0,70030,0
0,70030,0
0,69986,0
8,70033,0.011423349
-8,70034,-0.011423023
0,70016,0
0,70056,0
0,70032,0
0,70015,0
0,70052,0
0,70001,0
0,70036,0
1195,70023,1.70758195
-1195,69999,-1.707167245
0,70030,0
0,70074,0
0,69994,0
0,70053,0
0,70029,0
0,70026,0
0,70027,0
0,70010,0
0,70029,0
0,70043,0
0,70036,0
0,70019,0
0,70022,0
1222,70028,1.745816373
-1222,70029,-1.744991361
0,70007,0
0,70062,0
0,70006,0
0,70048,0
0,70042,0
0,70030,0
0,70026,0
0,70006,0
0,69994,0
0,70070,0
0,70039,0
0,70011,0
0,70035,0
1210,70037,1.728814527
-1210,69996,-1.72867021
0,70029,0
0,70058,0
0,70020,0
0,70003,0
8,70035,0.01142596
-8,70052,-0.011420088
0,70023,0
0,70023,0
0,70031,0
0,70034,0
0,69989,0
0,70026,0
0,70055,0
1185,69992,1.693408408
-1185,70055,-1.691528085
0,70030,0
0,70020,0
0,70022,0
0,70033,0
0,70044,0
15,69996,0.022846699
-15,70076,-0.021405331
0,69992,0
0,70050,0
0,70025,0
0,70005,0
0,70070,0
0,69996,0
1083,70051,1.546206916
-1083,69996,-1.54723127
0,70037,0
0,70056,0
0,70008,0
0,70036,0
0,70037,0
0,69998,0
0,70019,0
0,70044,0
0,70037,0
0,70032,0
0,70038,0
0,70005,0
0,70051,0
1853,70000,2.648317171
-1853,70034,-2.645857726
0,70016,0
0,70030,0
0,70034,0
0,70036,0
0,70051,0
0,70009,0
0,70025,0
0,70017,0
0,70051,0
0,70014,0
0,70017,0
0,70039,0
0,70035,0
1971,70008,2.816175839
-1971,70056,-2.813463515
0,69987,0
0,70039,0
0,70029,0
0,70028,0
0,70027,0
0,70058,0
0,70016,0
0,70036,0
0,69991,0
0,70056,0
0,70036,0
0,70020,0
0,70011,0
1231,70045,1.757516918
-1231,70035,-1.757692582
0,70020,0
0,70040,0
7,70008,0.011423349
-7,70053,-0.009992434
0,70036,0
0,70025,0
0,69981,0
0,70048,0
0,70017,0
0,70060,0
0,70004,0
0,70048,0
0,70023,0
1195,69810,1.713099811
-1195,70239,-1.701334017
0,70032,0
0,70019,0
0,70047,0
0,70004,0
0,70052,0
0,70029,0
0,69986,0
0,70063,0
0,70014,0
0,70060,0
0,69997,0
0,70026,0
0,70027,0
